,recon_error,adv_error,rot_error,delta_rot
IN_RAW_vs_IN_F,0.927,0.034,0.674,0.0
IN_RAW_vs_IN_T,0.005,0.0,0.001,0.0
IN_RAW_vs_CAT_RAW,0.0,0.0,0.175,0.528
IN_RAW_vs_CAT_F,0.0,0.0,0.0,0.117
IN_RAW_vs_CAT_T,0.0,0.0,0.0,0.199
IN_F_vs_IN_T,0.544,0.08,0.363,0.457
IN_F_vs_CAT_RAW,0.0,0.001,0.0,0.0
IN_F_vs_CAT_F,0.0,0.0,0.0,0.0
IN_F_vs_CAT_T,0.0,0.166,0.0,0.0
IN_T_vs_CAT_RAW,0.0,0.572,0.849,0.0
IN_T_vs_CAT_F,0.0,0.0,0.0,0.0
IN_T_vs_CAT_T,0.0,0.0,0.0,0.0
CAT_RAW_vs_CAT_F,0.0,0.0,0.0,0.001
CAT_RAW_vs_CAT_T,0.0,0.0,0.0,0.407
CAT_F_vs_CAT_T,0.128,0.901,0.303,0.682
IN,0.006,0.0,0.003,0.0
CAT,0.0,0.0,0.0,0.003
All,0.0,0.0,0.0,0.0
