,Re. error,Adv. error,Rot. error,RMS
AE+MoE_R1,0.01728239841759205,0.13207201659679413,8.1850004196167,0.05160165043622272
AE+MoE_R2,0.02695012092590332,0.15134532749652863,4.1525492668151855,0.06096232784159894
AE+MoE_R3,0.021329721435904503,0.2931780517101288,6.124047756195068,0.06067905595929728
AE+MoE_R4,0.013818382285535336,0.1454484909772873,2.536414861679077,0.04522615009909798
AE+MoE_R5,0.021988794207572937,0.16858959197998047,2.835789442062378,0.047505205702465754
AE+LSTM_R1,0.06312808394432068,0.05978184938430786,10.698559761047363,0.09923416596660817
AE+LSTM_R2,0.07632671296596527,0.17203061282634735,5.345771789550781,0.12537798223077076
AE+LSTM_R3,0.0697539746761322,0.29647573828697205,7.921957492828369,0.1135182297997065
AE+LSTM_R4,0.05255095660686493,0.1510934829711914,3.733640432357788,0.08544710661981796
AE+LSTM_R5,0.07481145113706589,0.17504017055034637,4.07201623916626,0.08351925445437303
RBF-IN+MoE_R1,0.0777120366692543,0.07646328955888748,10.587410926818848,0.07149268446720934
RBF-IN+MoE_R2,0.08544865250587463,0.16963328421115875,5.298981666564941,0.0889032870179886
RBF-IN+MoE_R3,0.07553141564130783,0.35891517996788025,7.923438549041748,0.1015200173102485
RBF-IN+MoE_R4,0.059419870376586914,0.1481836587190628,3.965468168258667,0.05906646854860353
RBF-IN+MoE_R5,0.07159581035375595,0.17209456861019135,3.9582393169403076,0.06735908410423241
RBF-IN+LSTM_R1,0.1012732982635498,0.047075528651475906,11.077880859375,0.08689180515140882
RBF-IN+LSTM_R2,0.11191681772470474,0.1751735955476761,5.4021430015563965,0.12557617208600094
RBF-IN+LSTM_R3,0.09451929479837418,0.32920414209365845,8.292671203613281,0.15088175201999884
RBF-IN+LSTM_R4,0.07402509450912476,0.14995135366916656,4.299388408660889,0.07992376221785186
RBF-IN+LSTM_R5,0.08623633533716202,0.19332803785800934,4.273670673370361,0.09506417428077578
RBF-CAT+MoE_R1,0.015331731177866459,0.13657622039318085,8.129063606262207,0.05124187653763892
RBF-CAT+MoE_R2,0.023104971274733543,0.15101639926433563,4.181275844573975,0.06077661236528373
RBF-CAT+MoE_R3,0.02304934523999691,0.2903851866722107,6.423774719238281,0.062475455479751064
RBF-CAT+MoE_R4,0.016249792650341988,0.14627951383590698,2.562551736831665,0.047436254961605945
RBF-CAT+MoE_R5,0.014705550856888294,0.1663590669631958,2.526684045791626,0.04564114815556954
RBF-CAT+LSTM_R1,0.06501073390245438,0.0615992546081543,10.707393646240234,0.0924768613084261
RBF-CAT+LSTM_R2,0.07183889299631119,0.1666380912065506,5.045938968658447,0.10935186825640408
RBF-CAT+LSTM_R3,0.06587453931570053,0.28992804884910583,7.610400676727295,0.12325773490800074
RBF-CAT+LSTM_R4,0.053494494408369064,0.1486377865076065,3.8083019256591797,0.09135870856006835
RBF-CAT+LSTM_R5,0.06504128128290176,0.17273135483264923,3.4986793994903564,0.08527181284188072
VAE-IN+MoE_R1,0.048740264028310776,0.12670856714248657,9.574485778808594,0.1515359403824376
VAE-IN+MoE_R2,0.05555339530110359,0.1596900373697281,5.509164333343506,0.1617793657439264
VAE-IN+MoE_R3,0.05644960328936577,0.26152369379997253,7.724262237548828,0.19087293341330658
VAE-IN+MoE_R4,0.04406614229083061,0.1446516513824463,4.1054368019104,0.1572562681601147
VAE-IN+MoE_R5,0.05287220701575279,0.16412560641765594,3.6207075119018555,0.1445329366449645
VAE-IN+LSTM_R1,0.09496107697486877,0.057145897299051285,10.978571891784668,0.1280306405865287
VAE-IN+LSTM_R2,0.10823657363653183,0.17261438071727753,5.203721523284912,0.17348917114137827
VAE-IN+LSTM_R3,0.09618749469518661,0.3438381254673004,8.096436500549316,0.17276294525076166
VAE-IN+LSTM_R4,0.07854259014129639,0.15487264096736908,4.5275959968566895,0.08909078168897495
VAE-IN+LSTM_R5,0.08969376236200333,0.1881762146949768,4.103918075561523,0.11122990224694962
VAE-CAT+MoE_R1,0.021295979619026184,0.13601702451705933,8.303360939025879,0.06071031451442377
VAE-CAT+MoE_R2,0.015990598127245903,0.151900976896286,4.073190689086914,0.06330554107060399
VAE-CAT+MoE_R3,0.024139752611517906,0.28969141840934753,6.299058437347412,0.07074896379632038
VAE-CAT+MoE_R4,0.024569302797317505,0.14551927149295807,2.9023027420043945,0.060313413114963854
VAE-CAT+MoE_R5,0.021221714094281197,0.16490143537521362,2.9250564575195312,0.05517758225957279
VAE-CAT+LSTM_R1,0.06529150158166885,0.06055663898587227,10.58133316040039,0.11112589588079064
VAE-CAT+LSTM_R2,0.06676444411277771,0.16759677231311798,5.138885498046875,0.1223469810040461
VAE-CAT+LSTM_R3,0.06867567449808121,0.3000492751598358,7.5725274085998535,0.12385357261583481
VAE-CAT+LSTM_R4,0.04977235198020935,0.1497759222984314,3.6370441913604736,0.08534637303958774
VAE-CAT+LSTM_R5,0.06547952443361282,0.17567379772663116,3.577127695083618,0.09686183365386185
DEC-IN+MoE_R1,0.07725179940462112,0.07939698547124863,10.051996231079102,0.0734006968518661
DEC-IN+MoE_R2,0.08937283605337143,0.1671944111585617,5.80972146987915,0.10445881459511586
DEC-IN+MoE_R3,0.07370466738939285,0.3408489525318146,7.460343837738037,0.10276649681468435
DEC-IN+MoE_R4,0.05950265750288963,0.15244048833847046,4.247148036956787,0.06330330986246689
DEC-IN+MoE_R5,0.07340133190155029,0.178622767329216,3.9255199432373047,0.0697472656776829
DEC-CAT+MoE_R1,0.04075942933559418,0.09750598669052124,9.347878456115723,0.056783920433039314
DEC-CAT+MoE_R2,0.05124853923916817,0.1582435518503189,5.366222381591797,0.07116370486464584
DEC-CAT+MoE_R3,0.030397042632102966,0.2852456867694855,6.185565948486328,0.06741623902962625
DEC-CAT+MoE_R4,0.03394654020667076,0.14798004925251007,3.725379228591919,0.051427254587727615
DEC-CAT+MoE_R5,0.07316599041223526,0.17451834678649902,3.843949317932129,0.05307896167695524
