,recon_error,delta_rot
AE_FE_vs_RBF_FC,3.847e-12,5.973e-01
AE_FE_vs_VAE_FC,1.920e-01,4.673e-27
AE_FE_vs_DEC_FC,1.936e-03,1.804e-02
AE_FE_vs_AE_FS,4.904e-01,8.228e-01
AE_FE_vs_RBF_FS,1.457e-02,3.856e-01
AE_FE_vs_VAE_FS,1.052e-07,1.864e-59
AE_FE_vs_DEC_FS,1.645e-23,8.650e-15
RBF_FC_vs_VAE_FC,4.838e-02,9.929e-15
RBF_FC_vs_DEC_FC,3.959e-32,2.827e-02
RBF_FC_vs_AE_FS,5.051e-14,8.868e-01
RBF_FC_vs_RBF_FS,4.831e-08,7.610e-02
RBF_FC_vs_VAE_FS,8.910e-01,1.508e-43
RBF_FC_vs_DEC_FS,2.003e-26,9.743e-04
VAE_FC_vs_DEC_FC,6.090e-35,4.334e-03
VAE_FC_vs_AE_FS,5.783e-07,3.582e-09
VAE_FC_vs_RBF_FS,2.303e-10,5.168e-24
VAE_FC_vs_VAE_FS,3.626e-02,7.704e-01
VAE_FC_vs_DEC_FS,6.997e-30,1.528e-01
DEC_FC_vs_AE_FS,1.822e-02,6.385e-01
DEC_FC_vs_RBF_FS,3.221e-03,8.584e-01
DEC_FC_vs_VAE_FS,5.010e-30,2.009e-27
DEC_FC_vs_DEC_FS,3.229e-01,1.309e-03
AE_FS_vs_RBF_FS,7.886e-02,1.861e-01
AE_FS_vs_VAE_FS,4.348e-08,4.993e-32
AE_FS_vs_DEC_FS,2.064e-17,1.743e-04
RBF_FS_vs_VAE_FS,3.468e-01,5.137e-38
RBF_FS_vs_DEC_FS,1.461e-07,4.628e-09
VAE_FS_vs_DEC_FS,1.113e-24,5.057e-04
FE_vs_FC,1.989e-95,4.451e-06
FE_vs_FS,1.312e-58,1.922e-72
FC_vs_FS,4.431e-56,2.183e-55
All,4.866e-151,1.545e-85
